Academic_Year,Institution_Type_EN,Campus_Zone_EN,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Diploma,Higher Diploma,Masters, Total
2019,Federal,Dubai,Local,Female,"1,077",19,18,8,80,40,7," 1,249 "
2019,Federal,Dubai,Local,Male,440,6,55,8,80,40,3, 632 
2019,Federal,Fujairah,Expat,Female,1,6,55,8,80,40,132, 322 
2019,Federal,Fujairah,Local,Female,198,6,55,8,80,40,57, 444 
2019,Federal,Fujairah,Local,Male,74,19,2,8,80,40,57, 280 
2019,Federal,Ras Al Khaimah,Expat,Female,7,19,55,8,80,40,57, 266 
2019,Federal,Ras Al Khaimah,Expat,Male,1,19,55,8,80,40,132, 335 
2019,Federal,Ras Al Khaimah,Local,Female,288,26,12,8,80,40,132, 586 
2019,Federal,Ras Al Khaimah,Local,Male,82,19,1,8,80,40,132, 362 
2019,Federal,Sharjah,Expat,Female,26,19,55,8,80,40,57, 285 
2019,Federal,Sharjah,Expat,Male,6,19,55,8,80,40,57, 265 
2019,Federal,Sharjah,Local,Female,543,1,2,8,80,40,57, 731 
2019,Federal,Sharjah,Local,Male,173,19,55,8,80,40,132, 507 
2019,Non-Federal,Abu Dhabi,Expat,Female,962,6,80,8,366,171,157," 1,750 "
2019,Non-Federal,Abu Dhabi,Expat,Male,732,19,50,16,62,34,108," 1,021 "
2019,Non-Federal,Abu Dhabi,Local,Female,"1,110",4,128,4,31,87,516," 1,880 "
2019,Non-Federal,Abu Dhabi,Local,Male,"1,204",6,99,4,18,42,449," 1,822 "
2019,Non-Federal,Ajman,Expat,Female,757,6,27,8,75,10,36, 919 
2019,Non-Federal,Ajman,Expat,Male,571,6,3,8,16,40,35, 679 
2019,Non-Federal,Ajman,Local,Female,214,6,10,8,3,1,36, 278 
2019,Non-Federal,Ajman,Local,Male,193,6,55,8,80,40,48, 430 
2019,Non-Federal,Dubai,Expat,Female,"1,165",25,17,18,63,4,464," 1,756 "
2019,Non-Federal,Dubai,Expat,Male,"1,024",39,31,8,14,9,528," 1,653 "
2019,Non-Federal,Dubai,Local,Female,330,1,11,17,4,3,395, 761 
2019,Non-Federal,Dubai,Local,Male,546,3,7,13,80,5,363," 1,017 "
2019,Non-Federal,Fujairah,Expat,Female,28,6,55,8,80,40,1, 218 
2019,Non-Federal,Fujairah,Expat,Male,17,6,55,8,80,40,132, 338 
2019,Non-Federal,Fujairah,Local,Female,29,6,55,8,80,40,10, 228 
2019,Non-Federal,Fujairah,Local,Male,26,19,55,8,80,40,22, 250 
2019,Non-Federal,Ras Al Khaimah,Expat,Female,244,19,55,8,80,40,24, 470 
2019,Non-Federal,Ras Al Khaimah,Expat,Male,169,19,55,8,80,40,11, 382 
2019,Non-Federal,Ras Al Khaimah,Local,Female,64,6,3,8,80,40,29, 230 
2019,Non-Federal,Ras Al Khaimah,Local,Male,13,19,55,8,80,40,13, 228 
2019,Non-Federal,Sharjah,Expat,Female,"1,539",19,23,2,80,40,119," 1,822 "
2019,Non-Federal,Sharjah,Expat,Male,"1,053",19,14,5,80,40,101," 1,312 "
2019,Non-Federal,Sharjah,Local,Female,823,19,95,6,80,40,190," 1,253 "
2019,Non-Federal,Sharjah,Local,Male,195,19,98,17,80,40,90, 539 
2019,Non-Federal,Umm Al Quwain,Expat,Female,22,6,55,8,80,40,132, 343 
2019,Non-Federal,Umm Al Quwain,Expat,Male,18,6,55,8,80,40,132, 339 
2019,Non-Federal,Umm Al Quwain,Local,Female,18,19,55,8,80,40,132, 352 
2019,Non-Federal,Umm Al Quwain,Local,Male,43,19,55,8,80,40,132, 377 
2020,Federal,Abu Dhabi,Expat,Female,243,19,55,16,80,40,75, 528 
2020,Federal,Abu Dhabi,Expat,Male,147,19,55,9,80,40,37, 387 
2020,Federal,Abu Dhabi,Local,Female,2807,6,10,8,53,40,173," 3,097 "
2020,Federal,Abu Dhabi,Local,Male,683,6,1,2,35,40,75, 842 
2020,Federal,Dubai,Expat,Female,30,19,55,8,80,40,57, 289 
2020,Federal,Dubai,Expat,Male,11,2,55,8,80,40,132, 328 
2020,Federal,Dubai,Local,Female,851,26,1,8,80,1,8, 975 
2020,Federal,Dubai,Local,Male,230,6,55,8,80,40,3, 422 
2020,Federal,Fujairah,Expat,Female,424,1,55,8,80,40,132, 740 
2020,Federal,Fujairah,Expat,Male,1,1,55,8,80,40,132, 317 
2020,Federal,Fujairah,Local,Female,211,27,1,8,80,40,132, 499 
